Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
772,China Literature Ltd.,Consumer Discretionary - Media &amp; Entertainment,A-,BB,33
775,"CK Life Sciences Int'l., (Holdings) Inc.",Healthcare - Other Healthcare,BBB,BBB,
777,NetDragon Websoft Holdings Ltd.,Information Technology - Software &amp; Services,BBB,A,39
780,Tongcheng Travel Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,BBB+,AAA,58
788,China Tower Corporation Ltd. - H Shares,Telecommunications - Telecommunications,A,CCC,24
799,IGG Inc,Information Technology - Software &amp; Services,27,,27
806,Value Partners Group Ltd.,Financials - Other Financials,32,,32
807,SIIC Environment Holdings Ltd.,Utilities - Utilities,31,,31
811,"Xinhua Winshare Publishing and Media Co., Ltd. - H Shares",Consumer Discretionary - Media &amp; Entertainment,BBB,BBB,24
813,Shimao Group Holdings Ltd.,Properties &amp; Construction - Properties,30,,30
815,China Silver Group Ltd.,Materials - Gold &amp; Precious Metals,28,,28
817,China Jinmao Holdings Group Ltd.,Properties &amp; Construction - Properties,A,AA,41
819,Tianneng Power International Ltd.,Industrials - Industrial Engineering,A-,A,25
826,Tiangong International Co. Ltd.,Materials - Diversified Metals &amp; Minerals,BBB+,,42
832,Central China Real Estate Ltd.,Properties &amp; Construction - Properties,31,,31
836,China Resources Power Holdings Co. Ltd.,Utilities - Utilities,A,A,42
839,China Education Group Holdings Ltd.,Consumer Discretionary - Support Services,A-,BBB,31
853,MicroPort Scientific Corporation,Healthcare - Other Healthcare,A-,BB,35
855,China Water Affairs Group Ltd.,Utilities - Utilities,A-,BBB,33
856,VSTECS Holdings Ltd.,Information Technology - Software &amp; Services,BBB-,B,20
857,PetroChina Co. Ltd. - H Shares,Energy - Oil &amp; Gas,A-,A,53
861,Digital China Holdings Ltd.,Information Technology - Software &amp; Services,BBB-,,42
863,OSL Group Ltd.,Financials - Other Financials,BBB,BBB,
867,China Medical System Holdings Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,AAA,67
868,Xinyi Glass Holdings Ltd.,Industrials - Industrial Engineering,BBB,CCC,30
873,Shimao Services Holdings Ltd.,Properties &amp; Construction - Properties,31,,31
874,Guangzhou Baiyunshan Pharmaceutical Holdings Co. Ltd.- H Shs,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB+,BB,36
880,SJM Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,BBB-,BBB,35
881,Zhongsheng Group Holdings Ltd.,Consumer Discretionary - Specialty Retail,BBB+,BBB,25
882,Tianjin Development Holdings Ltd.,Conglomerates - Conglomerates,20,,20
883,CNOOC Ltd.,Energy - Oil &amp; Gas,A-,B,30
884,CIFI Holdings (Group) Co. Ltd.,Properties &amp; Construction - Properties,A,,32
895,Dongjiang Environmental Co. Ltd. - H Shares,Industrials - Industrial Engineering,29,,29
900,Aeon Credit Service (Asia) Co. Ltd.,Financials - Other Financials,46,,46
902,"Huaneng Power International, Inc. - H Shares",Utilities - Utilities,BBB-,B,29
909,Ming Yuan Cloud Group Holdings Ltd.,Information Technology - Software &amp; Services,BBB-,BBB,35
914,Anhui Conch Cement Co. Ltd. - H Shares,Properties &amp; Construction - Construction,BBB+,BBB,47
916,China Longyuan Power Group Corporation Ltd. - H Shares,Utilities - Utilities,A-,A,39
917,Qunabox Group Ltd.,Consumer Discretionary - Media &amp; Entertainment,BBB-,,
921,"Hisense Home Appliances Group Co., Ltd. - H Shares",Consumer Discretionary - Household Goods &amp; Electronics,A-,BBB,54
928,King International Investment Ltd.,Consumer Staples - Food &amp; Beverages,15,,15
933,Viva Goods Co. Ltd.,Consumer Discretionary - Textiles &amp; Clothing,BBB,BBB,31
934,Sinopec Kantons Holdings Ltd.,Energy - Oil &amp; Gas,BBB+,BB,39
939,China Construction Bank Corporation - H Shares,Financials - Banks,A,AAA,39
941,China Mobile Ltd.,Telecommunications - Telecommunications,AA-,,35
945,Manulife Financial Corporation - S,Financials - Insurance,AAA,AAA,74
950,Lee's Pharmaceutical Holdings Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,32,,32
951,Chaowei Power Holdings Ltd.,Industrials - Industrial Engineering,27,,27
956,China Suntien Green Energy Corporation Ltd. - H Shares,Utilities - Utilities,A,,33
960,Longfor Group Holdings Ltd.,Properties &amp; Construction - Properties,A-,AA,51
966,China Taiping Insurance Holdings Co. Ltd.,Financials - Insurance,A-,B,32
968,Xinyi Solar Holdings Ltd.,Industrials - Industrial Engineering,A,A,40
975,Mongolian Mining Corporation,Energy - Coal,BBB+,,
978,China Merchants Land Ltd.,Properties &amp; Construction - Properties,25,,25
981,Semiconductor Manufacturing International Corporation,Information Technology - Semiconductors,A+,,34
990,Deep Source Holdings Ltd.,Materials - Basic Materials,BBB-,A,20
991,"Datang International Power Generation Co., Ltd. - H Shares",Utilities - Utilities,A-,B,23
992,Lenovo Group Ltd.,Information Technology - IT Hardware,AA+,AAA,62
995,Anhui Expressway Co. Ltd. - H Shares,Industrials - Industrial Transportation,BBB-,,25
998,China CITIC Bank Corporation Ltd. - H Shares,Financials - Banks,BBB,AAA,39
1024,Kuaishou Technology - W,Consumer Discretionary - Media &amp; Entertainment,A,A,47
1030,Seazen Group Ltd.,Properties &amp; Construction - Properties,BBB,A,34
1033,Sinopec Oilfield Service Corporation - H Shares,Energy - Oil &amp; Gas,BBB,,32
1038,CK Infrastructure Holdings Ltd.,Utilities - Utilities,AA+,A,57
1044,Hengan International Group Co. Ltd.,Consumer Staples - Consumer Staple Retailers,A,A,64
1052,Yuexiu Transport Infrastructure Ltd.,Industrials - Industrial Transportation,A-,BBB,41
1053,Chongqing Iron &amp; Steel Co. Ltd. - H Shares,Materials - Diversified Metals &amp; Minerals,BBB,,30
1055,China Southern Airlines Co. Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,BBB,BBB,42
1057,Zhejiang Shibao Co. Ltd. - H Shares,Consumer Discretionary - Automobiles,28,,28
1060,Damai Entertainment Holdings Ltd.,Consumer Discretionary - Media &amp; Entertainment,A-,AAA,36
1061,Essex Bio-Technology Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,36,,36
1065,Tianjin Capital Environmental Protection Group Co. Ltd.-H Sh,Utilities - Utilities,28,,28
1066,Shandong Weigao Group Medical Polymer Co. Ltd. - H Shares,Healthcare - Other Healthcare,BBB+,BBB,25
1068,China Yurun Food Group Ltd.,Consumer Staples - Agricultural Products,26,,26
1070,TCL Electronics Holdings Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,A,B,41
1071,Huadian Power International Corporation Ltd. - H Shares,Utilities - Utilities,BBB-,CCC,21
1072,Dongfang Electric Corporation Ltd. - H Shares,Industrials - Industrial Engineering,BBB,BB,27
1083,Towngas Smart Energy Co. Ltd.,Utilities - Utilities,AA+,AA,69
1086,Goodbaby International Holdings Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,67,,67
1088,China Shenhua Energy Co. Ltd. - H Shares,Energy - Coal,BBB+,BB,48
1093,CSPC Pharmaceutical Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,A,38
1098,Road King Infrastructure Ltd.,Properties &amp; Construction - Properties,26,,26
1099,Sinopharm Group Co. Ltd. - H Shares,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,BBB,43
1108,Triumph New Energy Co. Ltd. - H Shares,Industrials - Industrial Engineering,26,,26
1109,China Resources Land Ltd.,Properties &amp; Construction - Properties,A+,AA,39
1112,Health and Happiness (H&amp;H) International Holdings Ltd.,Healthcare - Other Healthcare,A+,AA,58
1113,CK Asset Holdings Ltd.,Properties &amp; Construction - Properties,AA-,BBB,59
1114,Brilliance China Automotive Holdings Ltd.,Consumer Discretionary - Automobiles,BBB,BB,26
1115,5100 Xizang Glacier Co. Ltd.,Consumer Staples - Food &amp; Beverages,25,,25
1117,China Modern Dairy Holdings Ltd.,Consumer Staples - Food &amp; Beverages,A-,A,71
1121,Golden Solar New Energy Technology Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,21,,21
1122,Qingling Motors Co. Ltd. - H Shares,Industrials - Industrial Engineering,20,,20
1126,Dream International Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,19,,19
1128,"Wynn Macau, Ltd.",Consumer Discretionary - Travel &amp; Leisure,BBB,BB,44
1133,Harbin Electric Co. Ltd. - H Shares,Industrials - Industrial Engineering,23,,23
1137,Hong Kong Technology Venture Co. Ltd.,Consumer Discretionary - Specialty Retail,22,,22
1138,"COSCO SHIPPING Energy Transportation Co., Ltd. - H Shares",Industrials - Industrial Transportation,A+,BBB,54
1157,"Zoomlion Heavy Industry Science and Technology Co., Ltd-H Sh",Industrials - Industrial Engineering,BBB-,BB,21
1164,CGN Mining Co. Ltd.,Materials - Diversified Metals &amp; Minerals,BBB+,BB,
1171,Yankuang Energy Group Co. Ltd. - H Shares,Energy - Coal,BBB+,BBB,45
1177,Sino Biopharmaceutical Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A,AA,71
1179,H World Group Ltd. - S,Consumer Discretionary - Travel &amp; Leisure,BBB-,A,32
1186,China Railway Construction Corporation Ltd. - H Shares,Properties &amp; Construction - Construction,BBB,B,23
1193,China Resources Gas Group Ltd.,Utilities - Utilities,A,A,30
1196,Realord Group Holdings Ltd.,Industrials - Industrial Engineering,BBB+,BB,25
1199,COSCO SHIPPING Ports Ltd.,Industrials - Industrial Transportation,A+,BBB,45
1205,CITIC Resources Holdings Ltd.,Energy - Oil &amp; Gas,29,,29
1208,MMG Ltd.,Materials - Diversified Metals &amp; Minerals,BBB+,BBB,37
1209,China Resources Mixc Lifestyle Services Ltd.,Properties &amp; Construction - Properties,A-,A,47
1211,BYD Co. Ltd. - H Shares,Consumer Discretionary - Automobiles,A+,AA,60
1223,Symphony Holdings Ltd.,Consumer Discretionary - Specialty Retail,22,,22
1233,Times China Holdings Ltd.,Properties &amp; Construction - Properties,29,,29
1234,China Lilang Ltd.,Consumer Discretionary - Textiles &amp; Clothing,BB,BB,25
1238,Powerlong Real Estate Holdings Ltd.,Properties &amp; Construction - Properties,28,,28
1250,Shandong Hi-Speed New Energy Group Ltd.,Utilities - Utilities,46,,46
1251,SPT Energy Group Inc.,Energy - Oil &amp; Gas,30,,30
1252,China Tianrui Group Cement Co. Ltd.,Properties &amp; Construction - Construction,30,,30
1257,China Everbright Greentech Ltd.,Utilities - Utilities,43,,43
1258,China Nonferrous Mining Corporation Ltd.,Materials - Diversified Metals &amp; Minerals,BBB+,B,12
1268,China MeiDong Auto Holdings Ltd.,Consumer Discretionary - Specialty Retail,27,,27
1269,China First Capital Group Ltd.,Consumer Discretionary - Automobiles,34,,34
1270,Langham Hospitality Investments Ltd.,Consumer Discretionary - Travel &amp; Leisure,26,,26
1274,"iMotion Automotive Technology (Suzhou) Co., Ltd. - H Shares",Information Technology - Software &amp; Services,BB+,,
1276,"Jiangsu Hengrui Pharmaceuticals Co., Ltd. - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,AA,AA,36
1277,Kinetic Development Group Ltd.,Energy - Coal,BBB,,
1282,Renze Harvest International Ltd.,Financials - Other Financials,30,,30
1288,Agricultural Bank of China Ltd. - H Shares,Financials - Banks,BBB+,AA,39
1293,Grand Baoxin Auto Group Ltd.,Consumer Discretionary - Specialty Retail,29,,29
1299,AIA Group Ltd.,Financials - Insurance,A+,AAA,52
1302,LifeTech Scientific Corporation,Healthcare - Other Healthcare,BBB+,BB,28
1308,SITC International Holdings Co. Ltd.,Industrials - Industrial Transportation,BBB+,A,84
1310,HKBN Ltd.,Telecommunications - Telecommunications,AA+,AAA,38
1313,China Resources Building Materials Technology Holdings Ltd.,Properties &amp; Construction - Construction,A,BBB,40
1316,Nexteer Automotive Group Ltd.,Consumer Discretionary - Automobiles,A+,BBB,41
1317,China Maple Leaf Educational Systems Ltd.,Consumer Discretionary - Support Services,34,,34
1330,"Dynagreen Environmental Protection Group Co., Ltd. -H Shares",Industrials - Industrial Engineering,28,,28
1336,New China Life Insurance Co. Ltd. - H Shares,Financials - Insurance,A-,BB,29
1339,The People's Insurance Co. (Group) of China Ltd. - H Shares,Financials - Insurance,BBB+,AAA,40
1341,Hao Tian International Construction Investment Group Ltd.,Industrials - Industrial Engineering,BBB,,16
1347,Hua Hong Semiconductor Ltd.,Information Technology - Semiconductors,A+,BBB,32
1349,Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co. Ltd. -H Shs,Healthcare - Pharmaceuticals &amp; Biotechnology,40,,40
1357,"Meitu, Inc.",Consumer Discretionary - Media &amp; Entertainment,A-,A,30
1359,"China Cinda Asset Management Co., Ltd. - H Shares",Financials - Other Financials,BBB,B,25
1361,361 Degrees International Ltd.,Consumer Discretionary - Textiles &amp; Clothing,BBB+,CCC,30
1368,Xtep International Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,A,A,41
1375,"Central China Securities Co., Ltd. - H Shares",Financials - Other Financials,A-,,20
1378,China Hongqiao Group Ltd.,Materials - Diversified Metals &amp; Minerals,BBB+,BB,53
1382,Pacific Textiles Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,26,,26
1385,Shanghai Fudan Microelectronics Group Co. Ltd. - H Shares,Information Technology - Semiconductors,BBB-,,23
1398,Industrial and Commercial Bank of China Ltd. - H Shares,Financials - Banks,BBB+,AAA,33
1405,DPC Dash Ltd,Consumer Discretionary - Travel &amp; Leisure,BBB,BB,
1415,Cowell e Holdings Inc.,Industrials - Industrial Engineering,BBB,BBB,35
1428,Bright Smart Securities &amp; Commodities Group Ltd.,Financials - Other Financials,19,,19
1432,China Shengmu Organic Milk Ltd.,Consumer Staples - Food &amp; Beverages,56,,56
1448,Fu Shou Yuan International Group Ltd.,Consumer Discretionary - Support Services,AA-,AAA,31
1456,Guolian Minsheng Securities Co. Ltd. - H Shares,Financials - Other Financials,A,BB,29
1458,Zhou Hei Ya International Holdings Co. Ltd.,Consumer Staples - Food &amp; Beverages,A-,BB,
1475,Nissin Foods Co. Ltd.,Consumer Staples - Food &amp; Beverages,A-,,
1477,Ocumension Therapeutics - B,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB-,BBB,
1478,Q Technology (Group) Co. Ltd.,Industrials - Industrial Engineering,BBB,B,29
1501,"Shanghai INT Medical Instruments Co., Ltd. - H Shares",Healthcare - Other Healthcare,42,,42
1508,China Reinsurance (Group) Corporation - H Shares,Financials - Insurance,25,,25
1513,Livzon Pharmaceutical Group Inc. - H Shares,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,,71
1515,China Resources Medical Holdings Co. Ltd.,Healthcare - Other Healthcare,BBB+,B,34
1516,Sunac Services Holdings Ltd.,Properties &amp; Construction - Properties,BBB+,A,29
1519,J&amp;T Global Express Ltd. - W,Industrials - Industrial Transportation,BBB-,B,31
1528,Red Star Macalline Group Corporation Ltd. - H Shares,Properties &amp; Construction - Properties,A-,,33
1530,3SBio Inc.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,A,40
1548,Genscript Biotech Corporation,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,AA,63
1565,Virscend Education Co. Ltd.,Consumer Discretionary - Support Services,24,,24
1579,Yihai International Holding Ltd.,Consumer Staples - Food &amp; Beverages,A-,B,27
1585,Yadea Group Holdings Ltd.,Consumer Discretionary - Automobiles,A,AAA,40
1600,Tian Lun Gas Holdings Ltd.,Utilities - Utilities,30,,30
1606,"China Development Bank Financial Leasing Co., Ltd. - H Shs",Financials - Other Financials,BB,BB,34
1610,COFCO Joycome Foods Ltd.,Consumer Staples - Agricultural Products,A-,B,
1618,Metallurgical Corporation of China Ltd. - H Shares,Properties &amp; Construction - Construction,A-,B,22
1622,Redco Properties Group Ltd.,Properties &amp; Construction - Properties,26,,26
1628,Yuzhou Group Holdings Co. Ltd.,Properties &amp; Construction - Properties,32,,32
1635,"Shanghai Dazhong Public Utilities (Group) Co., Ltd. - H Shs",Utilities - Utilities,24,,24
1638,Kaisa Group Holdings Ltd.,Properties &amp; Construction - Properties,27,,27
1658,"Postal Savings Bank of China Co., Ltd. - H Shares",Financials - Banks,BBB+,AAA,36
1666,Tong Ren Tang Technologies Co. Ltd. - H Shares,Healthcare - Pharmaceuticals &amp; Biotechnology,BB,BB,30
1668,China South City Holdings Ltd.,Properties &amp; Construction - Properties,30,,30
1673,Huazhang Technology Holding Ltd.,Industrials - Industrial Engineering,19,,19
1675,AsiaInfo Technologies Ltd.,Information Technology - Software &amp; Services,BBB+,BBB,
1681,Consun Pharmaceutical Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,BBB,29
1686,SUNeVision Holdings Ltd.,Information Technology - Software &amp; Services,A,A,30
1691,JS Global Lifestyle Co. Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,A+,BBB,54
1698,Tencent Music Entertainment Group - SW,Consumer Discretionary - Media &amp; Entertainment,BBB,BBB,33
1709,DL Holdings Group Ltd.,Financials - Other Financials,BBB-,,24
1717,Ausnutria Dairy Corporation Ltd.,Consumer Staples - Food &amp; Beverages,32,,32
1728,China ZhengTong Auto Services Holdings Ltd.,Consumer Discretionary - Specialty Retail,37,,37
1729,Time Interconnect Technology Ltd.,Information Technology - IT Hardware,BBB-,A,
1733,E-Commodities Holdings Ltd.,Energy - Coal,41,,41
1735,Central New Energy Holding Group Ltd.,Industrials - Industrial Engineering,BBB,,24
1755,"S-Enjoy Service Group Co., Ltd.",Properties &amp; Construction - Properties,30,,30
1766,CRRC Corporation Ltd. - H Shares,Industrials - Industrial Engineering,BBB+,BBB,30
1769,Scholar Education Group,Consumer Discretionary - Support Services,27,,27
1772,"Ganfeng Lithium Group Co., Ltd. - H Shares",Materials - Diversified Metals &amp; Minerals,A,A,47
1773,Tianli International Holdings Ltd.,Consumer Discretionary - Support Services,BBB+,,
1776,"GF Securities Co., Ltd. - H Shares",Financials - Other Financials,A-,BBB,23
1777,"Fantasia Holdings Group Co., Ltd.",Properties &amp; Construction - Properties,22,,22
1778,"Colour Life Services Group Co., Ltd.",Properties &amp; Construction - Properties,24,,24
1783,Envision Greenwise Holdings Ltd.,Properties &amp; Construction - Construction,BB+,BB,44
1787,"Shandong Gold Mining Co., Ltd. - H Shares",Materials - Gold &amp; Precious Metals,A-,B,27
1788,Guotai Junan International Holdings Ltd.,Financials - Other Financials,A-,AAA,42
1789,AK Medical Holdings Ltd.,Healthcare - Other Healthcare,BBB+,A,44
1797,East Buy Holding Ltd.,Consumer Discretionary - Media &amp; Entertainment,A-,A,34
1798,"China Datang Corporation Renewable Power Co., Ltd. -H Shares",Utilities - Utilities,BBB,BBB,30
1799,"Xinte Energy Co., Ltd. - H Shares",Industrials - Industrial Engineering,29,,29
1800,China Communications Construction Co. Ltd. - H Shares,Properties &amp; Construction - Construction,A-,BBB,42
1801,"Innovent Biologics, Inc.",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB+,AAA,46
1810,Xiaomi Corporation - W,Information Technology - IT Hardware,BBB+,A,63
1811,"CGN New Energy Holdings Co., Ltd.",Utilities - Utilities,A-,A,51
1812,Shandong Chenming Paper Holdings Ltd. - H Shares,Materials - Basic Materials,22,,22
1813,KWG Group Holdings Ltd.,Properties &amp; Construction - Properties,34,,34
1816,"CGN Power Co., Ltd. - H Shares",Utilities - Utilities,A-,BB,36
1818,Zhaojin Mining Industry Co. Ltd. - H Shares,Materials - Gold &amp; Precious Metals,BBB,CCC,17
1830,Perfect Medical Health Management Ltd.,Healthcare - Other Healthcare,27,,27
1833,Ping An Healthcare and Technology Co. Ltd.,Healthcare - Other Healthcare,A-,AA,37
1836,Stella International Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,A-,AAA,25
1846,EuroEyes International Eye Clinic Ltd.,Healthcare - Other Healthcare,24,,24
1848,China Aircraft Leasing Group Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,33,,33
1854,China Wantian Holdings Ltd.,Consumer Staples - Agricultural Products,44,,44
1855,ZONQING Environmental Ltd.,Properties &amp; Construction - Construction,BBB-,,
1857,China Everbright Water Ltd.,Utilities - Utilities,49,,49
1860,Mobvista Inc.,Consumer Discretionary - Media &amp; Entertainment,BBB+,BBB,37
1862,Jingrui Holdings Ltd.,Properties &amp; Construction - Properties,26,,26
1866,China XLX Fertiliser Ltd.,Materials - Basic Materials,41,,41
1873,Viva Biotech Holdings,Healthcare - Pharmaceuticals &amp; Biotechnology,35,,35
1876,Budweiser Brewing Co. APAC Ltd.,Consumer Staples - Food &amp; Beverages,BBB,,49
1877,"Shanghai Junshi Biosciences Co., Ltd. - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,,20
1880,China Tourism Group Duty Free Corporation Ltd. - H Shares,Consumer Discretionary - Travel &amp; Leisure,A-,A,39
1882,Haitian International Holdings Ltd.,Industrials - Industrial Engineering,BBB,A,32
1883,CITIC Telecom International Holdings Ltd.,Telecommunications - Telecommunications,A,BBB,31
1888,Kingboard Laminates Holdings Ltd.,Industrials - Industrial Engineering,A,CCC,29
1896,Maoyan Entertainment,Consumer Discretionary - Media &amp; Entertainment,BBB,A,32
1898,China Coal Energy Co. Ltd. - H Shares,Energy - Coal,BBB,BB,29
1899,Xingda International Holdings Ltd.,Industrials - Industrial Engineering,49,,49
1907,China Risun Group Ltd.,Materials - Basic Materials,BBB+,BB,40
1908,C&amp;D International Investment Group Ltd.,Properties &amp; Construction - Properties,BBB+,B,24
1910,Samsonite Group S.A.,Consumer Discretionary - Textiles &amp; Clothing,32,,32
1913,PRADA S.p.A.,Consumer Discretionary - Textiles &amp; Clothing,51,,51
1916,"Jiangxi Bank Co., Ltd. - H Shares",Financials - Banks,28,,28
1918,Sunac China Holdings Ltd.,Properties &amp; Construction - Properties,BBB,B,32
1919,"COSCO SHIPPING Holdings Co., Ltd. - H Shares",Industrials - Industrial Transportation,A+,CCC,28
1921,Dalipal Holdings Ltd.,Energy - Oil &amp; Gas,BBB-,CCC,
1928,Sands China Ltd.,Consumer Discretionary - Travel &amp; Leisure,A-,A,78
1929,Chow Tai Fook Jewellery Group Ltd.,Consumer Discretionary - Specialty Retail,AA,AA,57
1942,MOG Digitech Holdings Ltd.,Financials - Other Financials,24,,24
1951,Jinxin Fertility Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,A,30
1952,Everest Medicines Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,BB,
1958,BAIC Motor Corporation Ltd. - H Shares,Consumer Discretionary - Automobiles,A,,32
1963,"Bank of Chongqing Co., Ltd. - H Shares",Financials - Banks,A-,,24
1966,China SCE Group Holdings Ltd.,Properties &amp; Construction - Properties,25,,25
1969,"China Chunlai Education Group Co., Ltd.",Consumer Discretionary - Support Services,BBB+,,
1970,"IMAX China Holding, Inc.",Consumer Discretionary - Media &amp; Entertainment,28,,28
1972,Swire Properties Ltd.,Properties &amp; Construction - Properties,AAA,AA,79
1980,Tian Ge Interactive Holdings Ltd.,Consumer Discretionary - Media &amp; Entertainment,24,,24
1982,Nameson Holdings Ltd.,Consumer Discretionary - Textiles &amp; Clothing,34,,34
1988,"China Minsheng Banking Corp., Ltd. - H Shares",Financials - Banks,BBB+,AAA,40
1989,Delton Technology (Guangzhou) Inc. - H Shares,Industrials - Industrial Engineering,45,,45
1995,Ever Sunshine Services Group Ltd.,Properties &amp; Construction - Properties,42,,42
1997,Wharf Real Estate Investment Co. Ltd.,Properties &amp; Construction - Properties,AA+,BBB,49
1999,Man Wah Holdings Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,BBB+,BBB,24
2001,China New Higher Education Group Ltd.,Consumer Discretionary - Support Services,39,,39
2005,SSY Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BB+,BBB,28
2007,Country Garden Holdings Co. Ltd.,Properties &amp; Construction - Properties,A-,B,38
2009,BBMG Corporation - H Shares,Properties &amp; Construction - Construction,A-,B,34
2013,Weimob Inc.,Information Technology - Software &amp; Services,BBB,A,34
2015,Li Auto Inc. - W,Consumer Discretionary - Automobiles,A-,AAA,56
2016,"China Zheshang Bank Co., Ltd. - H Shares",Financials - Banks,BBB,AAA,36
2018,AAC Technologies Holdings Inc.,Industrials - Industrial Engineering,AA,BBB,47
2020,ANTA Sports Products Ltd.,Consumer Discretionary - Textiles &amp; Clothing,A,AA,69
2038,FIH Mobile Ltd.,Information Technology - IT Hardware,A-,BBB,40
2039,"China Int'l Marine Containers (Group) Co., Ltd. - H Shares",Industrials - Industrial Engineering,A,,27
2048,E-House (China) Enterprise Holdings Ltd.,Properties &amp; Construction - Properties,22,,22
2050,"Zhejiang Sanhua Intelligent Controls Co., Ltd. - H Shares",Industrials - Industrial Engineering,BBB,BBB,38
2057,ZTO Express (Cayman) Inc. - W,Industrials - Industrial Transportation,BBB+,B,54
2068,China Aluminum International Engineering Corp. Ltd.-H shares,Properties &amp; Construction - Construction,BBB,,21
2076,Kanzhun Ltd. - W,Consumer Discretionary - Support Services,AA,AA,53
2096,Simcere Pharmaceutical Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,A,34
2098,Zall Smart Commerce Group Ltd.,Industrials - Commercial &amp; Professional Services,30,,30
2099,China Gold International Resources Corp. Ltd.,Materials - Diversified Metals &amp; Minerals,BBB-,B,25
2128,China Lesso Group Holdings Ltd.,Properties &amp; Construction - Construction,A-,BB,43
2136,Lifestyle China Group Ltd.,Consumer Discretionary - Specialty Retail,22,,22
2137,Brii Biosciences Ltd. - B,Healthcare - Pharmaceuticals &amp; Biotechnology,25,,25
2145,"Shanghai Chicmax Cosmetic Co., Ltd. - H Shares",Healthcare - Other Healthcare,BBB+,,
2155,Morimatsu International Holdings Co. Ltd.,Industrials - Industrial Engineering,BBB+,,
2157,"Lepu Biopharma Co., Ltd. - B - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB-,B,
2158,Yidu Tech Inc.,Healthcare - Other Healthcare,BBB+,B,34
2160,MicroPort CardioFlow Medtech Corporation - B,Healthcare - Other Healthcare,40,,40
2162,Keymed Biosciences Inc. - B,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,B,
2169,Canggang Railway Ltd.,Industrials - Industrial Transportation,BBB-,,
2171,CARsgen Therapeutics Holdings Ltd. - B,Healthcare - Pharmaceuticals &amp; Biotechnology,B,B,
2172,MicroPort NeuroScientific Corporation,Healthcare - Other Healthcare,BBB,BBB,
2186,Luye Pharma Group Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB+,BBB,33
2190,"Zylox-Tonbridge Medical Technology Co., Ltd. - H Shares",Healthcare - Other Healthcare,BBB,BBB,
2192,"Medlive Technology Co., Ltd.",Healthcare - Other Healthcare,BBB,BB,
2196,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,A-,AAA,46
2198,China Sanjiang Fine Chemicals Co. Ltd.,Materials - Basic Materials,22,,22
2202,"China Vanke Co., Ltd. - H Shares",Properties &amp; Construction - Properties,AA-,BBB,53
2208,"Goldwind Science &amp; Technology Co., Ltd. - H Shares",Industrials - Industrial Engineering,A+,BBB,48
2222,NVC International Holdings Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,27,,27
2228,XtalPi Holdings Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BB+,A,23
2232,Crystal International Group Ltd.,Consumer Discretionary - Textiles &amp; Clothing,A-,BBB,
2233,West China Cement Ltd.,Properties &amp; Construction - Construction,A-,BB,31
2238,"Guangzhou Automobile Group Co., Ltd. - H Shares",Consumer Discretionary - Automobiles,A,A,33
