Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
9633,"Nongfu Spring Co., Ltd. - H Shares",Consumer Staples - Food &amp; Beverages,A,A,69
9636,JF SmartInvest Holdings Ltd,Information Technology - Software &amp; Services,BBB,,
9638,Ferretti S.p.A.,Industrials - Industrial Engineering,BBB,BBB,27
9658,SUPER HI INTERNATIONAL HOLDING LTD.,Consumer Discretionary - Travel &amp; Leisure,BBB-,A,25
9660,Horizon Robotics - W,Information Technology - Software &amp; Services,AA,AA,
9668,"China Bohai Bank Co., Ltd. - H Shares",Financials - Banks,A,A,27
9669,Beisen Holding Ltd.,Information Technology - Software &amp; Services,59,,59
9676,"Shiyue Daotian Group Co., Ltd. - H Shares",Consumer Staples - Agricultural Products,BB,,21
9688,Zai Lab Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB-,A,42
9690,TUHU Car Inc. - W,Consumer Discretionary - Specialty Retail,A-,,34
9696,Tianqi Lithium Corporation - H Shares,Materials - Diversified Metals &amp; Minerals,BBB,A,62
9698,GDS Holdings Ltd. - SW,Information Technology - Software &amp; Services,BBB+,AAA,63
9699,"Hangzhou SF Intra-city Industrial Co., Ltd. - H Shares",Industrials - Industrial Transportation,BBB+,,50
9858,China Youran Dairy Group Ltd.,Consumer Staples - Food &amp; Beverages,BBB+,,72
9860,ADICON Holdings Ltd.,Healthcare - Other Healthcare,BBB,,
9863,"Zhejiang Leapmotor Technology Co., Ltd. - H Shares",Consumer Discretionary - Automobiles,BBB,AA,39
9866,NIO Inc. - SW,Consumer Discretionary - Automobiles,BBB+,AA,54
9868,XPeng Inc. - W,Consumer Discretionary - Automobiles,BBB,AAA,50
9878,"Huitongda Network Co., Ltd. - H Shares",Consumer Discretionary - Specialty Retail,BBB,,61
9880,UBTECH ROBOTICS CORP LTD - H Shares,Information Technology - Software &amp; Services,BBB-,A,
9885,YSB Inc.,Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,,
9888,"Baidu, Inc. - SW",Consumer Discretionary - Media &amp; Entertainment,A+,AA,60
9890,Tanwan Inc.,Information Technology - Software &amp; Services,BB+,,
9896,MINISO Group Holding Ltd.,Consumer Discretionary - Specialty Retail,BBB,A,43
9898,Weibo Corporation - SW,Consumer Discretionary - Media &amp; Entertainment,BBB,AA,46
9899,NetEase Cloud Music Inc.,Consumer Discretionary - Media &amp; Entertainment,BBB-,BB,20
9901,New Oriental Education &amp; Technology Group Inc. - S,Consumer Discretionary - Support Services,BBB-,AAA,17
9911,Newborn Town Inc.,Consumer Discretionary - Media &amp; Entertainment,27,,27
9922,Jiumaojiu International Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,BBB+,BBB,28
9923,Yeahka Ltd.,Financials - Other Financials,A-,,63
9926,"Akeso, Inc.",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,B,25
9927,"Seres Group Co., Ltd. - H Shares",Consumer Discretionary - Automobiles,AAA,AAA,41
9930,Horizon Construction Development Ltd.,Industrials - Industrial Engineering,58,,58
9959,Linklogis Inc. - W,Information Technology - Software &amp; Services,BB,BB,37
9961,Trip.com Group Ltd. - S,Consumer Discretionary - Travel &amp; Leisure,BBB,A,37
9966,Alphamab Oncology - B,Healthcare - Pharmaceuticals &amp; Biotechnology,BB,BB,
9969,InnoCare Pharma Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,BB,41
9979,Greentown Management Holdings Co. Ltd.,Properties &amp; Construction - Properties,BBB,,
9980,"Eastroc Beverage (Group) Co., Ltd. - H Shares",Consumer Staples - Food &amp; Beverages,B,B,25
9981,"Shenzhen Woer Heat-Shrinkable Material Co., Ltd. - H Shares",Industrials - Industrial Engineering,6,,6
9985,WEILONG Delicious Global Holdings Ltd.,Consumer Staples - Food &amp; Beverages,BBB,,30
9987,"Yum China Holdings, Inc.",Consumer Discretionary - Travel &amp; Leisure,A,AA,81
9988,Alibaba Group Holding Ltd. - W,Consumer Discretionary - Specialty Retail,A-,BBB,52
9989,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd. - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,,28
9991,Baozun Inc. - W,Consumer Discretionary - Specialty Retail,50,,50
9992,Pop Mart International Group Ltd.,Consumer Discretionary - Household Goods &amp; Electronics,BBB,AA,30
9993,Radiance Holdings (Group) Co. Ltd.,Properties &amp; Construction - Properties,BBB-,BB,27
9995,"RemeGen Co., Ltd. - H Shares",Healthcare - Pharmaceuticals &amp; Biotechnology,BBB,B,30
9996,Peijia Medical Ltd. - B,Healthcare - Other Healthcare,29,,29
9999,"NetEase, Inc. - S",Information Technology - Software &amp; Services,BBB+,AAA,50
40181,"Bank of China Ltd., Macau Branch",,,,
40182,"Bank of China Ltd., Macau Branch",,,,
85910,Agricultural Development Bank of China,,,,
